peak_name,height_metres,climbed,first_ascent_year,first_ascent_country,first_ascent_expedition_id
Chekigo,6121,TRUE,2005,"UK, Switzerland",CHEK05101
Khatung Khang,6484,TRUE,1956,Switzerland,KTUN56101
Chago,6893,TRUE,1954,"New Zealand, Nepal",CHAG54101
Numri,6635,TRUE,2002,Germany,NUMR02301
Peak 41,6648,TRUE,2002,Slovenia,PK4102301
Kyazo Ri,6151,TRUE,2002,"UK, France",KYAZ02301
Pandra,6670,TRUE,2002,Denmark,PAND02301
Danga,6220,TRUE,2002,Denmark,DANG02301
Pokharkang,6372,TRUE,2002,"UK, Nepal",POKR02301
Nangpai Gosum I,7321,TRUE,2017,Germany,NAG117301
Khangri Shar,6792,FALSE,NA,NA,NA
Khangri West,6658,FALSE,NA,NA,NA
Purbung Himal,6500,FALSE,NA,NA,NA
Tashi Kang,6386,TRUE,2002,"Japan, Nepal",TASH02201
Tengi Ragi Tau,6938,TRUE,2002,"Japan, Nepal",TENR02401
Kyashar,6770,TRUE,2003,"UK, Austria, Swiss",KYAS03301
Nirekha,6159,TRUE,NA,NA,NA
Norbu Kang,6085,TRUE,2003,"Japan, Nepal",NORB03201
Lunchhung Kamo East,6024,TRUE,1999,"Japan, Nepal",LNKE99201
Linkhu Chuli Shar,6719,TRUE,2013,Germany,LIK113301
Linkhu Chuli Nup,6659,TRUE,1960,"France, Nepal",LIK260301
Panalotapa,6687,TRUE,1955,UK,PANT55101
Shalbachum,6707,TRUE,1959,"Japan, Nepal",SHAL59301
Khumbutse,6639,FALSE,NA,NA,NA
Boktoh,6114,TRUE,1991,Yugoslavia,BOKT91101
Mojca,6024,TRUE,1974,Yugoslavia,MOJC74301
Palung,7012,TRUE,1952,New Zealand,PLNG52101
Tutse,6758,FALSE,NA,NA,NA
Nuptse East I,7795,TRUE,2003,Russia,NUPE03301
Amotsang,6393,FALSE,NA,NA,NA
Yansa Tsenji,6567,FALSE,NA,NA,NA
Himjung,7092,TRUE,2012,S Korea,HIMJ12301
Amphu I,6740,TRUE,2013,S Korea,AMPH13301
Chabuk,6792,FALSE,NA,NA,NA
Chako,6704,TRUE,2007,"Japan, Nepal",CHAK07201
Dome Kang,7264,TRUE,2009,"Spain, Nepal",DOMK09101
Ghhanyala Hies,6744,FALSE,NA,NA,NA
Hunku,6119,TRUE,2012,UK,HUNK12302
Janak Chuli,7041,TRUE,2006,Slovenia,JANK06101
Kabru South,7318,TRUE,1994,India,KABS94101
Kabru Main,7412,TRUE,1994,India,KABR94101
Lashar I,6842,TRUE,2005,Slovenia,LASH05301
Lashar II,6803,FALSE,NA,NA,NA
Nangpai Gosum II,7287,FALSE,NA,NA,NA
Nangamari I,6547,TRUE,2010,Australia,NANG10301
Panbari,6905,TRUE,2006,Japan,PANB06301
Phungi Himal,6538,TRUE,2017,Russia,PHNH17301
Mariyang,6528,FALSE,NA,NA,NA
Takargo,6771,TRUE,2010,USA,TKRG10101
Thulagi,7059,TRUE,2015,Russia,THUL15301
Jomsom Himal,6335,TRUE,2003,"France, Nepal",JOMS03301
Bamongo,6406,TRUE,2013,"Nepal, China",BAMO13301
Chaw Peak,6404,FALSE,NA,NA,NA
Dingjung North,6249,TRUE,1955,UK,DING55101
Kang Nagchugo,6737,TRUE,2008,USA,KNAG08301
Konabon,6570,FALSE,NA,NA,NA
Khamjung,6759,TRUE,NA,Japan,NA
Kyungka Ri 1,6599,TRUE,2017,S Korea,KYR117301
Kyungka Ri 2,6506,FALSE,NA,NA,NA
Kojichuwa Chuli,6439,TRUE,2010,Japan,KOJI10101
Chhiv Himal,6650,TRUE,2004,Japan,CHIV04301
